cluster,size,sources,share_post_llm,median_sigs,example_title
changeorg_other:chg35074544,10,1,0.2,1.0,"""Feeding Program in the Community: specifically, in Baclayon to Tagbilaran"""
changeorg_other:chg35099026,10,1,0.8,1.0,Stop Environmental Destruction in the Philippines
changeorg_other:chg35576885,10,1,1.0,1.0,Stop animal abbuse
changeorg_other:chg36181512,10,1,0.3,1.0,Human rights
changeorg_other:chg35436389,10,1,1.0,3.5,"Cyber-bullying has been increasing. In fact, unfortunately, it's starting to become a norm"
changeorg_other:chg35097235,10,1,0.3,1.0,The importance of human right in our life
changeorg_treated:chg35500926,9,1,1.0,1.0,Please make Bob The Builder get a Complete Series 9 on DVD!
changeorg_treated:chg35575634,9,3,1.0,2.0,STOPWILLOW
changeorg_other:chg32400287,9,2,0.0,1.0,"Keep it short and to the point Example: ""Buy organic, free-range eggs for your restaurants"
changeorg_other:chg36243465,9,1,1.0,1.0,AWARENESS IN TECHNOLOGY
changeorg_other:chg36423327,9,1,0.7777777777777778,2.0,Environmental issues in the Philippines
changeorg_other:chg490047848,9,1,0.7777777777777778,1.0,Prevent Illegal Logging
changeorg_other:chg35035527,9,1,0.5555555555555556,1.0,Rights of LGBTQ
changeorg_other:chg36495477,9,1,0.8888888888888888,1.0,Save Stray Dogs from killings
changeorg_other:chg33251818,9,2,0.0,1.0,SAVE MARIUPOL
changeorg_treated:chg37729655,9,2,0.7777777777777778,1.0,Education
changeorg_other:chg37862794,9,1,1.0,1.0,"As passionate supporters of the Iraqi football team, we were devastated by the outcome of"
changeorg_other:chg35547254,9,1,1.0,69.0,Advance Priorities of Rightsholders in Africa During UN 2023 Water Conference
changeorg_other:chg33539798,9,1,0.6666666666666666,1.0,Human rights
changeorg_other:chg35187687,9,1,0.5555555555555556,1.0,Human Rights
changeorg_other:chg490341584,8,1,1.0,1.0,Avoid the package food and help for nutrition to poor
changeorg_other:chg36356486,8,1,0.875,1.0,We Are Family
changeorg_other:chg37688254,8,1,1.0,1.0,Cyberbullying awareness
changeorg_other:chg36313244,8,1,0.875,1.0,No to cyberbullying
changeorg_other:chg35002221,8,1,0.25,1.0,Human's rights
changeorg_other:chg35208377,8,1,0.875,1.0,Animal Cruetly
changeorg_other:chg490237566,8,1,0.625,1.0,Discrimination is the unfair or prejudicial treatment of people and groups based on charac
changeorg_other:chg490003466,8,1,1.0,1.0,No to cuberbullying
changeorg_other:chg35593111,8,2,1.0,1.0,Will project
changeorg_treated:chg35508127,8,1,1.0,1.0,"Day off of school on February 13, 2023 Csms"
changeorg_other:chg37425654,8,1,1.0,1.5,Technology
changeorg_other:chg37732706,8,1,0.75,1.0,The Importance Of Education
changeorg_treated:chg490164341,8,2,1.0,1.0,Education
changeorg_treated:chg32612827,8,2,0.625,2.0,Ban hurting animals
changeorg_other:chg35010173,8,1,0.75,1.0,Evironment concern
changeorg_other:chg35030942,8,1,0.875,1.0,Save Our Mental health
changeorg_other:chg490275551,8,1,1.0,1.0,Human Rights Iran
changeorg_other:chg33140140,8,1,0.5,1.0,Give women rights or we'll fights!
changeorg_other:chg490308409,8,1,1.0,1.0,Women's Right
changeorg_other:chg37789720,8,1,1.0,1.0,Family
changeorg_other:chg35032101,8,1,0.375,1.0,Stop cutting trees
changeorg_other:chg36395932,8,1,0.875,1.0,Corruption in the Philippines
changeorg_other:chg32212234,8,1,0.625,1.0,go green breath clean
changeorg_other:chg35004989,8,1,0.25,1.0,Family
changeorg_other:chg35065497,8,1,0.875,1.0,Stop the abuse and killing of stray dogs.
changeorg_treated:chg31940964,8,1,0.0,1.0,"Support Safety For Our Children, Enforce Mask Mandates at mountain view"
changeorg_other:chg36283560,8,1,1.0,1.0,Animals
changeorg_other:chg35015176,8,1,0.625,1.0,Women’s Right
changeorg_other:chg36400854,8,1,0.25,1.0,family problems
changeorg_other:chg37776113,8,1,0.5,1.0,Food
changeorg_other:chg36213921,8,1,0.5,1.0,climate change
changeorg_other:chg35422204,8,1,0.875,1.0,Human rights
changeorg_other:chg490312156,7,1,1.0,5.0,Pre-Marital Sex and Early Pregnancy
changeorg_other:chg32188552,7,1,0.0,1.0,The situation in India is getting worse day by day!! “I am currently in class 12
changeorg_other:chg35116196,7,1,1.0,1.0,Education
uk_2015:119317,7,3,0.0,7.0,Make cannabis legal in the uk
changeorg_treated:chg36604776,7,1,1.0,10.0,Petition against ocean mining - Mamiwata’s Cobalt team (India)
changeorg_treated:chg36581745,7,1,1.0,54.0,Petition against Child Labor - Mamiwata’s Cobalt team (India)
changeorg_other:chg36535749,7,1,1.0,1.0,ANIMALS
changeorg_other:chg35099389,7,1,0.0,1.0,"Education is a purposeful activity directed at achieving certain aims, such as transmittin"
changeorg_other:chg36214247,7,1,1.0,1.0,Save student
changeorg_other:chg33504294,7,1,0.14285714285714285,1.0,There is no more Planet B. Let Earth Breathe.
changeorg_other:chg35511252,7,1,0.42857142857142855,1.0,LGBTQ Right's
changeorg_treated:chg490062331,7,1,1.0,1.0,Bring the College Advising Core to The New School
uk_2010:22333,7,1,0.0,1.0,Support The Best Policy for Children; give Both Parents Equality in Law.
uk_2019:634742,7,3,0.5714285714285714,173.0,petition​.​parliament​.​uk/petitions/613981
changeorg_other:chg36180462,7,1,0.7142857142857143,1.0,Climate change
changeorg_other:chg31968312,7,1,0.5714285714285714,1.0,Human rights
changeorg_other:chg490309256,7,1,1.0,10.0,PETITION FOR THE CLOSURE OF FOREIGN-OWNED SPAZA SHOPS
changeorg_other:chg36300243,7,1,0.8571428571428571,1.0,"""BROKEN FAMILY''"
changeorg_other:chg36252093,7,1,1.0,25.0,Release of the kernal source code of infinix hot 10S
changeorg_other:chg34461070,7,1,0.42857142857142855,1.0,Cyber bullying
changeorg_other:chg37784565,7,1,0.7142857142857143,1.0,Illegal logging
changeorg_other:chg35494816,7,2,0.5714285714285714,1.0,What is Lorem Ipsum?
changeorg_other:chg37789700,7,1,0.8571428571428571,1.0,UNHEALTHY ENVIRONMENT
changeorg_other:chg490268838,7,1,0.5714285714285714,1.0,STOP BULLYING
changeorg_other:chg37835322,7,1,0.8571428571428571,1.0,Drug addiction
changeorg_other:chg33360146,7,1,0.14285714285714285,1.0,Save mother earth
changeorg_other:chg33403065,7,1,0.5714285714285714,1.0,International Human Rights law
changeorg_other:chg36681934,7,1,0.7142857142857143,1.0,Gender Equality
changeorg_other:chg490100655,7,1,1.0,1.0,Justice for NEET Students . #ReNEET..
changeorg_other:chg490019497,7,1,1.0,1.0,"""ABANTE BABAE """
changeorg_other:chg35011610,7,1,0.0,1.0,Target:Poor
changeorg_other:chg490193279,7,1,1.0,1.0,Negative Propaganda Against Imran Khan to stop his entry for the Chancellor Election 2024
changeorg_other:chg37527652,7,1,1.0,1.0,Scam by omegapro
changeorg_other:chg37754143,7,1,0.5714285714285714,1.0,SAVE THE MOTHER EARTH
changeorg_treated:chg490328188,7,1,1.0,3.0,"2024 Hand Recount Georgia Target 2,050,000 Registered Voters"
uk_2019:314416,7,4,0.0,257.0,Myxomatosis
uk_2010:50640,7,1,0.0,1.0,Corporal Punishment
changeorg_other:chg490310734,7,1,1.0,1.0,Extrajudicial Killings( criminal injustice)
changeorg_treated:chg490162015,7,2,0.8571428571428571,2.0,The entire bee movie script
changeorg_other:chg36082872,7,1,0.8571428571428571,1.0,The importance of education
changeorg_other:chg34990931,7,1,0.2857142857142857,1.0,Human rights
changeorg_other:chg36356601,7,1,1.0,1.0,Stop! No to animal abuse
changeorg_other:chg36517675,7,1,1.0,1.0,PLEASE STOP THE USE OF OUR KODIAK BEARS FOR NASA LARS OLE MORTENSEN DANISH JOURNALIST
changeorg_other:chg33592170,7,1,0.7142857142857143,1.0,The Importancd of Education
changeorg_other:chg36272776,7,1,0.42857142857142855,1.0,Animal Cruelty/ welfare and rights
changeorg_other:chg490262950,6,1,1.0,1.0,No to Deforestation
changeorg_other:chg33008281,6,1,0.0,0.5,bullying and descrimination
changeorg_other:chg35092249,6,1,0.3333333333333333,1.0,How we should dispose our trash?
changeorg_other:chg36603114,6,1,0.6666666666666666,1.0,Human rights
changeorg_other:chg37818159,6,2,1.0,1.0,"""PROTECT AND SAFE AND ACCESSIBLE ABORTION"""
changeorg_treated:chg37803433,6,1,1.0,5.5,"Mandate Free Menstrual Products in Ottumwa Schools, Iowa"
changeorg_other:chg36217642,6,2,0.8333333333333334,1.0,GIVE THE LGBTQ COMMUNITY RIGHTS TO BE HERE.
changeorg_other:chg490003834,6,1,1.0,1.0,"Promote Waste Segregation Among Residents of Masaba, Danao City, Cebu"
changeorg_treated:chg37786701,6,1,1.0,1.0,Keep the Vaccine for Hepatitis-B Required Under The CSU Immunization Policy
changeorg_other:chg37754033,6,2,0.6666666666666666,1.0,Stop bullying
changeorg_other:chg35051890,6,1,0.0,1.0,How can we attain proper waste management in our school?
changeorg_other:chg34994474,6,1,0.16666666666666666,1.0,LGBTQ RIGHTS
changeorg_other:chg35112718,6,2,0.5,1.0,Pakistani Senator Azam Swati’s life is in danger.
changeorg_other:chg34936078,6,1,0.6666666666666666,4.0,Education should be free
changeorg_other:chg35888309,6,1,1.0,2.0,Save the Constitution and support the Chief Justice of Pakistan
changeorg_other:chg36552069,6,1,1.0,517.0,Vote to remove Islamic Republic of Iran from chairing the social committee of United Natio
changeorg_treated:chg33804408,6,1,0.0,9605.0,"Yeongju, South Korea: Shut down the illegal dog farms and slaughterhouses!"
changeorg_other:chg33088666,6,1,0.0,969.5,WE DEMAND ONLINE EXAM FOR UPCOMING SEMESTER 2022 ( VU & AUTONOMOUS COLLEGE)
changeorg_other:chg490060029,6,1,1.0,1.0,Health and Well Being
changeorg_other:chg490253476,6,1,1.0,1.0,Save mother nature
changeorg_other:chg36487063,6,1,0.6666666666666666,1.0,Environment
changeorg_other:chg36374337,6,1,1.0,1.0,Pollution
changeorg_other:chg33823571,6,2,0.0,1.0,Technoblade Passes Away from Cancer
changeorg_other:chg35056764,6,1,0.6666666666666666,1.0,Cyberbullying: What is it and how can we stop it?
changeorg_other:chg35112791,6,1,1.0,1.5,No to Cyberbullying
changeorg_other:chg35092275,6,1,0.16666666666666666,1.0,LGBTQ RIGHTS
changeorg_treated:chg35541403,6,1,1.0,2.5,Investigate the Corrupt Trial and Sentencing of Caleb Lawrence McGillvary
changeorg_treated:chg34038698,6,1,0.0,54.5,Get MIYUKI Booked for a Headlining Show in NEW YORK CITY
changeorg_treated:chg35412434,6,1,0.5,1.0,STOP GOGUARDIAN ITS CREEPY!
changeorg_treated:chg32014978,6,1,0.0,34.5,St Joe Stands with Centracare
uk_2017:229392,6,1,0.0,6.5,"For deforestation to be reduced, for text books to be made of recycled materials"
uk_2010:47942,6,1,0.0,1.0,Iain Duncan Smith to live on £53 a week
changeorg_treated:chg32364000,6,1,0.0,11.0,all saturday morning anime shows in Funimation
changeorg_treated:chg35869731,6,1,0.3333333333333333,1.5,Abolish the US government
changeorg_treated:chg37471793,6,1,1.0,5.0,RePlace Ryan Seacrest As Host & Let Johnny & Jim & Kristin Be A New Hosts On DCRNYE
changeorg_treated:chg31986353,6,1,0.0,13.5,All anime shows celebrities & wheel of Fortune celebrity crossover
changeorg_treated:chg490312657,6,1,1.0,2.0,"King to Ban Tory, Labour, LibDem Parties Seditious Treason Plot to Remove Hereditary Peers"
changeorg_other:chg37812506,6,1,1.0,1.0,Ban loud Fireworks in Canada
changeorg_treated:chg36357819,6,1,1.0,2.0,Make the State of Texas a no-kill state for honeybees
changeorg_other:chg35537284,6,1,0.8333333333333334,1.0,Lack of Education
changeorg_treated:chg37925162,6,1,1.0,1.0,Stop The Public County Trail and Save Our Greenbelt
changeorg_other:chg37710805,6,1,1.0,6.5,Stop Palestine genocide
changeorg_other:chg32241907,6,1,0.0,1.0,Cancel School Year 2021-2022 #YesToAcademicFreeze
changeorg_other:chg490050791,6,1,1.0,0.5,pokerdecks
changeorg_other:chg490251639,6,1,0.8333333333333334,1.0,Environmental issue
changeorg_other:chg32079922,6,1,0.0,54.0,Requesting Coinbase To List Donaswap
changeorg_other:chg36499839,6,1,1.0,1.5,What is the impact of human choices on our environment
changeorg_other:chg35505365,6,1,1.0,1.0,Save the habitat of the animals
changeorg_other:chg36269992,6,2,1.0,1.0,"""NO TO CYBERBULLYING"""
changeorg_other:chg34943110,6,1,0.5,1.0,Human rights are not optional
changeorg_other:chg36836267,6,2,1.0,1.0,LeanBiome Reviews: Dangers and Side Effects Exposed!
changeorg_other:chg490311071,6,1,1.0,4.5,Light up Lives is a project to address human rights violation in the Philippines
changeorg_other:chg36668963,6,1,1.0,1.0,family
changeorg_other:chg35565898,6,2,0.3333333333333333,1.0,STOP DISRESPECTING LGBTQ MEMBERS
changeorg_other:chg35537250,6,1,0.5,1.0,ban plastic bag
changeorg_other:chg490354917,6,1,1.0,1.0,Elephants-Rhinos Rescued From Circuses by Lars Ole Mortensen
changeorg_other:chg36428200,6,1,0.6666666666666666,1.0,"Keep fossil fuels in the ground,Invest in renewable energy,Improve farming"
changeorg_other:chg490265182,6,1,1.0,1.0,GENDER EQUALITY
changeorg_other:chg34131945,6,1,0.0,4.5,BEd 2nd and 4th semester against offline exam
changeorg_other:chg35002277,6,1,0.0,1.5,Normalize Approaching Guidance Council For Students' Mental Health
changeorg_other:chg36461000,6,1,0.8333333333333334,1.0,Relationship
changeorg_other:chg35058104,6,1,0.0,1.0,Grant Student
changeorg_treated:chg33455703,6,1,0.16666666666666666,2.5,Fund public schools to provide armed security.
changeorg_treated:chg490028515,6,1,1.0,1.0,PETITION FOR THE ROSS SCHOOL TO GO PHONE-FREE
changeorg_treated:chg490315285,6,1,1.0,1.0,"Arizona Stand Against a 34-Time Felon, Twice Impeached, Racist and Misogynist"
changeorg_treated:chg490156199,6,1,1.0,1.0,We DEMAND an Investigation & Removal of Corrupt Texas Poll Workers
changeorg_other:chg36436220,6,1,1.0,1.0,Let's save the world together conserve environment
changeorg_other:chg35010066,6,1,0.6666666666666666,1.0,Woman's rights
changeorg_other:chg35509217,6,1,0.8333333333333334,1.0,Why education is important
changeorg_other:chg37837154,6,1,0.8333333333333334,1.0,HUMAN RIGHTS
changeorg_treated:chg36280577,6,1,1.0,17.0,Change to a 20mph default speed limit on all residential roads in Glaisdale
changeorg_treated:chg36604440,6,1,1.0,2.0,All bill breeds
changeorg_treated:chg37814784,6,1,1.0,1163.5,Pass A Ceasefire Resolution - Birmingham
changeorg_treated:chg34537947,6,2,0.0,72.5,Call on Gold Coast City Council to sever the sister city relationship with Jining&Shandon
changeorg_other:chg37906834,5,1,0.6,2.0,Stop animal cruelty
changeorg_other:chg35019884,5,1,0.2,1.0,Education
changeorg_other:chg35502212,5,1,0.8,1.0,Title: Human Rights
changeorg_other:chg35100982,5,1,0.2,1.0,How We Prevent Bullying in our Campus?
changeorg_other:chg35182347,5,1,1.0,1.0,Stop k to12 program
changeorg_other:chg490264832,5,1,1.0,1.0,"Planet Earth: Our Home, Our Responsibility Take care of it"
changeorg_other:chg36771697,5,1,1.0,1.0,Java Burn Use & Result Facts I Bet You Didn't Know About
changeorg_other:chg35174118,5,1,0.2,1.0,Inspect San Carlos City Resorts' Drainage Systems
changeorg_other:chg32598962,5,1,0.0,9.0,Boda boda owners to be regulated and registered
changeorg_treated:chg37769742,5,2,1.0,1.0,Demand Legal Action Against Sexual Exploitation and Abuse by Albert mantell
changeorg_other:chg35459488,5,1,0.6,1.0,Animal abuse
changeorg_other:chg37754013,5,1,0.8,1.0,Stoppp Smoking
changeorg_other:chg35120884,5,1,1.0,1.0,Respect your self By Respecting other's
changeorg_other:chg35409309,5,1,0.4,1.0,Threat to Biodiversity is Just as Important as Climate Change
changeorg_other:chg35195119,5,1,1.0,1.0,SAVE THE ENVIRONMENT
changeorg_other:chg33224313,5,1,0.8,1.0,Boracay
changeorg_other:chg33402729,5,1,0.0,13.0,Save our cheetah Acinonyx Jubatus At Zoo Negara
changeorg_other:chg36227831,5,1,1.0,1.0,Family problem
changeorg_other:chg35035681,5,1,0.6,1.0,Women's Rights
changeorg_other:chg35054962,5,1,0.6,1.0,My Family
changeorg_other:chg32253116,5,1,0.4,1.0,LTO and local government unit of baranggay bagontaas
changeorg_other:chg36081574,5,1,1.0,1.0,Climate change
changeorg_other:chg490251491,5,1,1.0,1.0,No to Cyberbullying
changeorg_treated:chg34925745,5,2,0.0,1.0,Ban Ayatollah Khamenei From Twitter
changeorg_other:chg37793419,5,1,1.0,1.0,Family
changeorg_other:chg33045544,5,1,0.4,1.0,Let the Earth Breath
changeorg_other:chg35458263,5,1,1.0,1.0,Women's rights
changeorg_other:chg35117358,5,1,0.6,1.0,Stop discrimination start appreciating difference in each everyone personality
changeorg_other:chg490023228,5,1,1.0,1.0,Environmental issues
changeorg_other:chg37769274,5,1,0.8,1.0,Education
changeorg_other:chg490091403,5,1,1.0,1.0,NTA scam
changeorg_other:chg35009924,5,1,0.0,2.0,Stop Animal Abuse
changeorg_treated:chg37836838,5,1,1.0,132.0,Cancel FISD Schools 1/16
uk_2010:2335,5,1,0.0,1.0,Legalise cannabis
changeorg_treated:chg490338697,5,1,1.0,12.0,Make Yardley Wood Road Safer
changeorg_treated:chg37385394,5,1,1.0,1.0,"Petition for the Recall of Victoria Bradford, Leg Rep of the EPS Board"
changeorg_treated:chg490333179,5,1,1.0,1.0,Please supporting Zhang Junge's lawsuit against Li Hongzhi
changeorg_treated:chg37764238,5,1,1.0,1.0,Sell Fire Damaged House Florida
changeorg_treated:chg490100031,5,1,1.0,35.0,Ashford needs fully plant-based catering to reach climate goals
changeorg_other:chg35478700,5,1,0.8,1.0,Health
changeorg_other:chg490273822,5,1,1.0,1.0,TEENAGE PREGNANCY
changeorg_treated:chg37700112,5,1,0.4,1.0,No more Ixl
changeorg_treated:chg35512075,5,1,0.6,14.0,Petition to Remove the Current HOA Board President
changeorg_other:chg34990899,5,2,0.6,1.0,Animals
changeorg_other:chg36460995,5,1,1.0,1.0,Port Focus
changeorg_other:chg35101058,5,1,0.6,1.0,LGBTQ right
changeorg_other:chg35484386,5,1,0.6,1.0,Family
changeorg_treated:chg490328656,5,1,1.0,1.0,Require Investors to Maintain Their Position until 1 Million Market Cap
changeorg_other:chg35074468,5,1,0.0,1.0,WHY DOES BACLAYON NATIONAL HIGH SCHOOL ARE LACK OF CLASSROOMS?
changeorg_other:chg490308727,5,1,1.0,1.0,Free Dr Afia Sidiqui
changeorg_other:chg34969994,5,1,0.6,1.0,My own petition
changeorg_other:chg37739029,5,1,0.8,1.0,Education
changeorg_other:chg36286581,5,1,0.8,1.0,Family is the key to happiness.
changeorg_other:chg32294477,5,1,0.0,28.0,ONLINE EXAMS FOR STUDENTS- CLASS XITH
changeorg_other:chg490263909,5,1,1.0,1.0,Stop Discrimination and Racism
changeorg_other:chg490259239,5,1,1.0,1.0,Mark Lloyd Bacea
changeorg_other:chg490253763,5,1,0.8,1.0,Stop Killing Animals
changeorg_other:chg32425195,5,1,0.0,115.0,ONLINE OPTION FOR FINAL EXAMS - DPSRKP
changeorg_other:chg35558662,5,1,1.0,2.0,"UK, US, Canada, Europe, and Asia Cancel Nyesom Wike’s Visa"
changeorg_other:chg32633554,5,1,0.4,1.0,Bullying
changeorg_other:chg33564097,5,1,0.0,32.0,#enlargeEU: Candidate status for Georgia
changeorg_other:chg37750928,5,1,1.0,1.0,Stop illegal logging
changeorg_other:chg490020010,5,1,1.0,1.0,FUR PAWS (Protecting and Advocating Worthy Strays
changeorg_other:chg37839142,5,1,0.8,1.0,Stop bullying
changeorg_other:chg490254176,5,1,1.0,1.0,petition to support mental health awareness
changeorg_other:chg490277582,5,1,1.0,1.0,"""protect our Planet :Stop throwing garbage in public spaces""make a Clean up drive and hel"
changeorg_other:chg33317331,5,1,0.0,1.0,Requesting to postpone NEET-PG 2022
changeorg_other:chg490048222,5,1,1.0,1.0,Cyberbullying
changeorg_treated:chg37819606,5,2,1.0,2.0,End the Mob Vote : Put an end to the scrapping of great ideas
changeorg_other:chg37779022,5,1,1.0,1.0,Mental health
changeorg_other:chg490178497,5,1,1.0,1.0,Justice for heaven and for her mother
changeorg_other:chg490257852,5,1,0.6,2.0,A Call To Action To Save One of The World's Best Island from Verge of Extinction.
changeorg_other:chg35432699,5,1,1.0,1.0,Requesting lucknow dm and up cm shri yogi adityanath ji for holiday of class 9-12 also
